"pesticide_id";"pesticide_name";"pesticide_code";"price";"quantity";"type";"iupa_number";"mfg_local";"company_name"
382;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"De-Nocil Crop Protection Ltd. Mumbai "
383;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Coromondel International Ltd. Secundrabad "
384;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Gharda Cehmicals Ltd. Mumbai. "
385;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Gujarat Insecticides Ltd. Ankleshwar (92%) "
386;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"RPG Life Sciences Ltd. Mumbai. "
387;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Rallis India Ltd. Mumbai "
388;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Syngenta Crop Protection Pvt. Ltd. Amar Paradigm Pune "
389;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Gujarat Agro-Chem Ltd Mumbai "
390;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Rotam India Limited Mumbai "
391;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Insecticide India Ltd "
392;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Punjab Chemicals and Crop Protection Ltd "
393;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Crystal Phosphates Ltd. Delhi "
394;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Hemani International Pvt. Ankleshwar "
395;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"United Phosphorus Ltd. Mumbai "
396;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Hyderabad Chemical Products Pvt. Ltd "
397;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Heramba Industries Ltd. "
398;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Megmani Organics Ltd. Ahmedabad "
399;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Tagros Chemicals India Ltd. Chennai (92%) "
400;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Sudarshan Chemical Industries Ltd. Pune (92%) "
401;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"Bharat Rasayan Ltd. Delhi (92%). 9(4 )"
